user_id,total_inflow,total_income,total_transfer_in,total_outflow,outflow_inflow_ratio,income_spent_pct
b'\x04\x0e\x953\x9f\xa8B\xa5\x8cg\xb6\xb2\x83\xed\xaa\x0c',23590.6,11236.18,12354.42,26188.09,1.1101069917679076,2.3306933495191426
"b'\x04,D%[^D\xa0\x9c\x89\xe5\xaa&.m\xc5'",15930.91,0.01,15930.9,15931.35,1.0000276192634319,10.0
b'\x04;\x15\xdb\xa7\xeaIf\x93?7F\xe6\\\xfd\xd6',1206.46,0.0,1206.46,1411.46,1.1699186048439236,10.0
b'\x04C\xee\xae\xa8\x99Hn\xad\xb5\x90\xe1\xc5s8\x0e',21825.56,6868.09,14957.47,21586.83,0.9890619072317045,3.1430616081035634
b'\x04Gf\xa7\x13\x85C2\x92\x0fRp\xfd=\xa0}',18132.92,11475.07,6657.85,18222.12,1.0049192297765612,1.5879746267343031
b'\x04\x7f\xa7\xb37LAP\xabR\x8a\r\r^K(',1685.52,0.0,1685.52,1684.9,0.9996321609948265,10.0
"b'\x04\xbf\xbe""\x0b*@\xc8\x8f\xc6f\x9d\xa0\xf9D\xd4'",45.11,0.0,45.11,37.83,0.8386167146974063,10.0
"b""\x04\xcb\xa4v\xc6}C@\x9cGu'O\xc6\xb2\xa4""",37074.73,27889.0,9185.73,36249.7,0.9777468372662456,1.2997848614148946
b'\x04\xd4\x9f\x8a\xbdwH\xd6\x96\xe2\x86B\x8d\x8dd\xca',3090.0,2870.71,219.29,3111.0400000000004,1.0068090614886733,1.0837179652420483
b'\x04\xdc\xf8bj\xe4N\x9a\xb0<\x16\xde\x8a\xd5\xc6\xc8',29343.65,16182.61,13161.039999999999,29121.020000000004,0.9924130092882106,1.7995255400704833
b'\x04\xf1\xe9PzyD\xd9\x99V\xedA\x0fS\xe6J',27914.38,15065.65,12848.73,29205.3,1.0462456984536286,1.9385356755267777
"b""\x05\x0b\xa7\xeb\xf7'N\xa4\x89\xfe\x84<\x8f\x8f\xb0\xe1""",28578.8,21663.76,6915.04,27445.16,0.9603328341287948,1.2668696477435129
b'\x05\x0e|m\xfd\xc3H\xe8\x91+\x9a\x83\xd6\x7f+\x9b',22090.15,14005.619999999999,8084.53,23719.55,1.0737613823355658,1.69357372254852
b'\x05\x1e\xe1\xe7\xa3ZFT\xb3\x18Q\xb9\xcb\xb4!\x93',26686.28,19786.28,6900.0,24675.699999999997,0.9246586635529568,1.2471116349308713
b'\x059N\x86&\x1cF\x90\x98\x0e\xaf\x04\xff\x10=K',3526.75,2529.79,996.9599999999999,3682.6200000000003,1.0441964981923868,1.4557018566758506
b'\x05>\xce5\xf1HA\xcf\x8c\x83\xe3(\xb6p\xff\n',62951.99,21856.85,41095.14,66061.13,1.0493890661756682,3.022445137336808
b'\x05IK:\x18IA\x8a\xa9+\xb8\xf5=\xf0\xe6\xbc',3096.1800000000003,1800.0,1296.18,3411.48,1.1018351646222118,1.8952666666666667
b'\x05K\x16y\xda|O*\x8e\xbc\xfeB\x0c\xd4\xf7{',9079.22,0.0,9079.22,10628.679999999998,1.170660034672582,10.0
b'\x05W;\x8c5\xf0NN\xb2\xcf\\\xc0-\x8cu\xea',22026.65,6950.0,15076.65,22696.51,1.0304113426235944,3.265684892086331
b'\x05\xa3\xfa5bUC\xbd\xab\xf1\xe6`j\x90\xd5\xbe',49406.73,29942.45,19464.28,48257.44,0.9767381893114562,1.6116730594857802
"b""\x05\xb5&\x10\x91'Dk\xbd\xa9jg(WH\x1a""",18729.86,2527.0099999999998,16202.85,22192.79,1.1848881945727303,8.782232757290238
b'\x05\xbd\xdc\xd3\xaf\xe3G\x15\xa0\xeb\x96\xb3^1\x0c\xc8',10367.78,0.0,10367.78,10267.919999999998,0.9903682369803369,10.0
b'\x05\xcfG5rRD9\xb0\x8c\xaa6\xa0\xca\x9d4',19173.72,14184.2,4989.52,18735.690000000002,0.977154667951759,1.3208845052946236
